3422310,Diamond Articles,NQ Bits > Fordia P-260 Turbo,2,350.00,new
4389806,Diamond Articles,NQ Bits > Fordia Blitz 23,2,325.00,new
762716,Diamond Articles,NQ Bits > Dimatec 07,1,345.00,new
1442702,Diamond Articles,NQ Bits > Longyear Alpha 09,11,425.00,new
1337735,Diamond Articles,NQ Bits > Longyear Alpha 08,0,425.00,new
819896,Diamond Articles,NQ Bits > Longyear Alpha 07,0,425.00,new
813272,Diamond Articles,NQ Bits > Longyear Alpha 06,6,425.00,new
00000,Diamond Articles,NQ Bits > Hayden  4,3,312.50,new
074484,Diamond Articles,NQ Bit > Hayden 2,4,312.50,new
00000,Diamond Articles,NQ Bit > Fordia T-Rex 9-11,0,345.00,new
00000,Diamond Articles,NQ Bit > Fordia Turbo #9901,3,345.00,new
00000,Diamond Articles,NQ Bit > Fordia Hero 3,2,345.00,new
7448404,Diamond Articles,NQ Reamshell > Fordia - Rhino,2,295.00,new
00000,Diamond Articles,NQ Bit > Fordia-Hero 7,1,345.00,new
00000,Diamond Articles,NQ Cas.shoe > Fordia Gator Green,6,85.00,new
00000,Diamond Articles,NQ Cas.shoe > Fordia Gator Blue,0,85.00,new
00000,Diamond Articles,NQ Bit > Fordia Hero 11,2,345.00,new
00000,Diamond Articles,NQ3 FD > Hole Products,4,575.00,new
00000,Diamond Articles,HQ Bit > Fordia T-Rex 4-6,1,550.00,new
6737601,Diamond Articles,HQ Bits > Fordia Shark2 Face Disch.,1,583.68,new
2352001,Diamond Articles,HQ -  3 Bits > Fordia T-Rex 4x6 T.T.,0,668.00,new
00000,Diamond Articles,HQ -  3 Bits > Fast Drill T.T.face dischg.,1,668.00,new
6987106,Diamond Articles,HQ - 3 Bit > Fordia T-Rex 9-11,3,668.00,new
2352901,Diamond Articles,HQ - 3 Bit > Fordia Shark 7 T.T.,0,668.00,new
00000,Diamond Articles,HQ - 3 Bit > Longyear Alpha 7 T.T.,2,630.00,new
00000,Diamond Articles,HQ Bit  > Longyear Alpha 9 Ext.,1,630.00,new
00000,Diamond Articles,HWL > Hayden # 15,9,595.00,new
7448404,Diamond Articles,HQ Reamshell > Fordia Rhino,0,360.00,new
00000,Diamond Articles,HQ Cas. Shoe > Fordia Gator (blue),0,230.00,new
00000,Diamond Articles,HQ Cas. Shoe > Fordia Gator (green),0,230.00,new
1741995,Diamond Articles,HQ Cas. Bit > Longyear HRQ shoe bit,2,230.00,new
6211,Longyear 38 Drill Spares,LY38 > Bearings,3,10.00,new
11931,Longyear 38 Drill Spares,LY38 > Retainer,3,51.15,new
15470,Longyear 38 Drill Spares,LY38 > Alt belt,3,8.52,new
15540,Longyear 38 Drill Spares,LY38 > Blower belt,4,12.76,new
15689,Longyear 38 Drill Spares,LY38 > Bushing,0,24.50,new
17209,Longyear 38 Drill Spares,LY38 > Clutch Yoke,0,128.40,new
17249,Longyear 38 Drill Spares,LY38 > Rivet,50,2.40,new
17834,Longyear 38 Drill Spares,LY38 > Lock nut,4,8.00,new
18851,Longyear 38 Drill Spares,LY38 > Bearing,1,30.10,new
19255,Longyear 38 Drill Spares,LY38 > Seal,3,63.90,new
19704,Longyear 38 Drill Spares,LY38 > Seal,8,19.95,new
19709,Longyear 38 Drill Spares,LY38 > Lock washer,0,4.00,new
19710,Longyear 38 Drill Spares,LY38 > Lock nut,2,14.70,new
19711,Longyear 38 Drill Spares,LY38 > Lock washer,0,4.12,new
19712,Longyear 38 Drill Spares,LY38 > Lock nut,2,8.52,new
19913,Longyear 38 Drill Spares,LY38 > Wodriff key,6,8.60,new
20111,Longyear 38 Drill Spares,LY38 > Rod,0,1.50,new
21075,Longyear 38 Drill Spares,LY38 > Bearing timkin,2,16.10,new
21942,Longyear 38 Drill Spares,"LY38 > Shaft, Intermed. Gear",0,249.75,new
21945,Longyear 38 Drill Spares,LY38 > Bearing spacer,3,56.50,new
21948,Longyear 38 Drill Spares,LY38 > Seal & bearing retainer,2,140.90,new
21951,Longyear 38 Drill Spares,LY38 > Sliding gear,1,876.30,new
21953,Longyear 38 Drill Spares,LY38 > Shaft,0,939.00,new
21975,Longyear 38 Drill Spares,LY38 > Thrust washer,4,49.50,new
22045,Longyear 38 Drill Spares,LY38 > Brake handle,1,264.50,new
22056,Longyear 38 Drill Spares,"LY38 > Rod, 38 support",5,40.15,new
22064,Longyear 38 Drill Spares,"LY38 > Pin,38 brake",4,25.50,new
22065,Longyear 38 Drill Spares,LY38 > Shifter fork yoke,2,395.40,new
22088,Longyear 38 Drill Spares,"LY38 > Seal, Oil",4,25.50,new
22089,Longyear 38 Drill Spares,LY38 > Bearing,4,41.95,new
22091,Longyear 38 Drill Spares,LY38 > Bearing,5,80.55,new
22092,Longyear 38 Drill Spares,LY38 > Planetary bearing,7,41.00,new
22093,Longyear 38 Drill Spares,LY38 > Bearing,6,40.90,new
22094,Longyear 38 Drill Spares,LY38 > Bearing,3,90.55,new
22095,Longyear 38 Drill Spares,LY38 > Bearing,0,96.95,new
22096,Longyear 38 Drill Spares,LY38 > Bearing,0,53.20,new
22098,Longyear 38 Drill Spares,LY38 > Snap ring,6,9.10,new
22329,Longyear 38 Drill Spares,LY38 > Spacer,2,99.05,new
22330,Longyear 38 Drill Spares,LY38 > Retaining ring,2,17.70,new
22331,Longyear 38 Drill Spares,LY38 > Bearing,7,195.85,new
22333,Longyear 38 Drill Spares,LY38 > Bearing,12,125.68,new
22390,Longyear 38 Drill Spares,"LY38 > Seal, Oil",1,38.85,new
22391,Longyear 38 Drill Spares,"LY38 > Washer, keyed",5,12.15,new
22393,Longyear 38 Drill Spares,LY38 > Camm follower,10,28.30,new
22400,Longyear 38 Drill Spares,LY38 > Grease fitting,5,2.56,new
22580,Longyear 38 Drill Spares,LY38 > Spacer W/L drum,5,71.65,new
22644,Longyear 38 Drill Spares,LY38 > Roll pin,6,3.05,new
22647,Longyear 38 Drill Spares,"LY38 > Spring Pin 3/16"" x 1""",4,2.45,new
22715,Longyear 38 Drill Spares,LY38 > Retainer Ext hub gear,4,5.30,new
23424,Longyear 38 Drill Spares,LY38 > Spring,2,21.32,new
23638,Longyear 38 Drill Spares,"LY38 > Supt, 44 HST clutch",0,162.15,new
