00000, 1234, Diamond Articles, NQ Cas.shoe > Fordia Gator Blue, 0, 85.00, new
00000, 1234, Diamond Articles, NQ Bit > Fordia Hero 11, 2, 345.00, new
00000, 1234, Diamond Articles, NQ3 FD > Hole Products, 4, 575.00, new
00000, 1234, Diamond Articles, HQ Bit > Fordia T-Rex 4-6, 1, 550.00, new
6737601, 1234, Diamond Articles, HQ Bits > Fordia Shark2 Face Disch., 1, 583.68, new
2352001, 1234, Diamond Articles, HQ -  3 Bits > Fordia T-Rex 4x6 T.T., 0, 668.00, new
00000, 1234, Diamond Articles, HQ -  3 Bits > Fast Drill T.T.face dischg., 1, 668.00, new
6987106, 1234, Diamond Articles, HQ - 3 Bit > Fordia T-Rex 9-11, 3, 668.00, new
2352901, 1234, Diamond Articles, HQ - 3 Bit > Fordia Shark 7 T.T., 0, 668.00, new
00000, 1234, Diamond Articles, HQ - 3 Bit > Longyear Alpha 7 T.T., 2, 630.00, new
00000, 1234, Diamond Articles, HQ Bit  > Longyear Alpha 9 Ext., 1, 630.00, new
00000, 1234, Diamond Articles, HWL > Hayden # 15, 9, 595.00, new
7448404, 1234, Diamond Articles, HQ Reamshell > Fordia Rhino, 0, 360.00, new
00000, 1234, Diamond Articles, HQ Cas. Shoe > Fordia Gator (blue), 0, 230.00, new
00000, 1234, Diamond Articles, HQ Cas. Shoe > Fordia Gator (green), 0, 230.00, new
1741995, 1234, Diamond Articles, HQ Cas. Bit > Longyear HRQ shoe bit, 2, 230.00, new
6211, 1234, Longyar 38, LY38 > Bearings, 3, 10.00, new
11931, 1234, Longyar 38, LY38 > Retainer, 3, 51.15, new
15470, 1234, Longyar 38, LY38 > Alt belt, 3, 8.52, new
15540, 1234, Longyar 38, LY38 > Blower belt, 4, 12.76, new
15689, 1234, Longyar 38, LY38 > Bushing, 0, 24.50, new
17209, 1234, Longyar 38, LY38 > Clutch Yoke, 0, 128.40, new
17249, 1234, Longyar 38, LY38 > Rivet, 50, 2.40, new
17834, 1234, Longyar 38, LY38 > Lock nut, 4, 8.00, new
18851, 1234, Longyar 38, LY38 > Bearing, 1, 30.10, new
19255, 1234, Longyar 38, LY38 > Seal, 3, 63.90, new
19704, 1234, Longyar 38, LY38 > Seal, 8, 19.95, new
19709, 1234, Longyar 38, LY38 > Lock washer, 0, 4.00, new
19710, 1234, Longyar 38, LY38 > Lock nut, 2, 14.70, new
19711, 1234, Longyar 38, LY38 > Lock washer, 0, 4.12, new
19712, 1234, Longyar 38, LY38 > Lock nut, 2, 8.52, new
19913, 1234, Longyar 38, LY38 > Wodriff key, 6, 8.60, new
20111, 1234, Longyar 38, LY38 > Rod, 0, 1.50, new
21075, 1234, Longyar 38, LY38 > Bearing timkin, 2, 16.10, new
21942, 1234, Longyar 38, LY38 > Shaft Intermed. Gear, 0, 249.75, new
21945, 1234, Longyar 38, LY38 > Bearing spacer, 3, 56.50, new
21948, 1234, Longyar 38, LY38 > Seal & bearing retainer, 2, 140.90, new
21951, 1234, Longyar 38, LY38 > Sliding gear, 1, 876.30, new
21953, 1234, Longyar 38, LY38 > Shaft, 0, 939.00, new
21975, 1234, Longyar 38, LY38 > Thrust washer, 4, 49.50, new
22045, 1234, Longyar 38, LY38 > Brake handle, 1, 264.50, new
22056, 1234, Longyar 38, LY38 > Rod 38 support, 5, 40.15, new
22064, 1234, Longyar 38, LY38 > Pin 38 brake, 4, 25.50, new
22065, 1234, Longyar 38, LY38 > Shifter fork yoke, 2, 395.40, new
22088, 1234, Longyar 38, LY38 > Seal Oil, 4, 25.50, new
22089, 1234, Longyar 38, LY38 > Bearing, 4, 41.95, new
22091, 1234, Longyar 38, LY38 > Bearing, 5, 80.55, new
22092, 1234, Longyar 38, LY38 > Planetary bearing, 7, 41.00, new
22093, 1234, Longyar 38, LY38 > Bearing, 6, 40.90, new
22094, 1234, Longyar 38, LY38 > Bearing, 3, 90.55, new
22095, 1234, Longyar 38, LY38 > Bearing, 0, 96.95, new
22096, 1234, Longyar 38, LY38 > Bearing, 0, 53.20, new
22098, 1234, Longyar 38, LY38 > Snap ring, 6, 9.10, new
22329, 1234, Longyar 38, LY38 > Spacer, 2, 99.05, new
22330, 1234, Longyar 38, LY38 > Retaining ring, 2, 17.70, new
22331, 1234, Longyar 38, LY38 > Bearing, 7, 195.85, new
22333, 1234, Longyar 38, LY38 > Bearing, 12, 125.68, new
22390, 1234, Longyar 38, LY38 > Seal Oil, 1, 38.85, new
22391, 1234, Longyar 38, LY38 > Washer keyed, 5, 12.15, new
22393, 1234, Longyar 38, LY38 > Camm follower, 10, 28.30, new
22400, 1234, Longyar 38, LY38 > Grease fitting, 5, 2.56, new
22580, 1234, Longyar 38, LY38 > Spacer W/L drum, 5, 71.65, new
22644, 1234, Longyar 38, LY38 > Roll pin, 6, 3.05, new
22647, 1234, Longyar 38, LY38 > Spring Pin 3/16 x 1, 4, 2.45, new
22715, 1234, Longyar 38, LY38 > Retainer Ext hub gear, 4, 5.30, new
23424, 1234, Longyar 38, LY38 > Spring, 2, 21.32, new
23638, 1234, Longyar 38, LY38 > Supt 44 HST clutch, 0, 162.15, new
